Word,Category,Starting_Letter,Length,Is_Compound,Component_Count
آئین‌نامه,Noun/Adjective/Misc,الف,9,1,2
آبادی‌نشین,Noun/Adjective/Misc,الف,10,1,2
آبزی‌پروری,Noun/Adjective/Misc,الف,10,1,2
آبله‌دار,Noun/Adjective/Misc,الف,8,1,2
آبله‌رو,Noun/Adjective/Misc,الف,7,1,2
آبله‌مرغان,Noun/Adjective/Misc,الف,10,1,2
آبله‌کوبی,Noun/Adjective/Misc,الف,9,1,2
آبله‌گون,Noun/Adjective/Misc,الف,8,1,2
آبگوشت‌خور,Noun/Adjective/Misc,الف,10,1,2
آبگوشت‌خوری,Noun/Adjective/Misc,الف,11,1,2
آبی‌پوش,Noun/Adjective/Misc,الف,7,1,2
آب‌انبار,Noun/Adjective/Misc,الف,8,1,2
آب‌اکسیژنه,Noun/Adjective/Misc,الف,10,1,2
آب‌باریکه,Noun/Adjective/Misc,الف,9,1,2
آب‌بازی,Noun/Adjective/Misc,الف,7,1,2
آب‌بند,Noun/Adjective/Misc,الف,6,1,2
آب‌بندی,Noun/Adjective/Misc,الف,7,1,2
آب‌بها,Noun/Adjective/Misc,الف,6,1,2
آب‌تنی,Noun/Adjective/Misc,الف,6,1,2
آب‌جو,Noun/Adjective/Misc,الف,5,1,2
آب‌جوفروش,Noun/Adjective/Misc,الف,9,1,2
آب‌جوفروشی,Noun/Adjective/Misc,الف,10,1,2
آب‌خوری,Noun/Adjective/Misc,الف,7,1,2
آب‌داده,Noun/Adjective/Misc,الف,7,1,2
آب‌درمانی,Noun/Adjective/Misc,الف,9,1,2
آب‌دزدک,Noun/Adjective/Misc,الف,7,1,2
آب‌دیده,Noun/Adjective/Misc,الف,7,1,2
آب‌رسان,Noun/Adjective/Misc,الف,7,1,2
آب‌رسانی,Noun/Adjective/Misc,الف,8,1,2
آب‌رفته,Noun/Adjective/Misc,الف,7,1,2
آب‌روغن,Noun/Adjective/Misc,الف,7,1,2
آب‌زدایی,Noun/Adjective/Misc,الف,8,1,2
آب‌زده,Noun/Adjective/Misc,الف,6,1,2
آب‌زن,Noun/Adjective/Misc,الف,5,1,2
آب‌زیرکاه,Noun/Adjective/Misc,الف,9,1,2
آب‌زیپو,Noun/Adjective/Misc,الف,7,1,2
آب‌سردکن,Noun/Adjective/Misc,الف,8,1,2
آب‌شده,Noun/Adjective/Misc,الف,6,1,2
آب‌شناسی,Noun/Adjective/Misc,الف,8,1,2
آب‌شنگولی,Noun/Adjective/Misc,الف,9,1,2
آب‌شیرین‌کن,Noun/Adjective/Misc,الف,11,1,3
آب‌طلا,Noun/Adjective/Misc,الف,6,1,2
آب‌غوره,Noun/Adjective/Misc,الف,7,1,2
آب‌لمبو,Noun/Adjective/Misc,الف,7,1,2
آب‌لنبو,Noun/Adjective/Misc,الف,7,1,2
